ano;cod_ies;nome_ies;sigla_ies;categoria_adm;organizacao_acad;uf;igc_continuo;igc_faixa;nome_google_place;latitude;longitude;endereco;endereco_detalhe
2018;2624;FACULDADE DO LITORAL PARANAENSE;FLP;Privada com fins lucrativos;Faculdade;PR;2,07048;3;ISEPE Guaratuba;-25.8805714;-48.5825702;R. Joaquim Menelau de Almeida Tôrres, 101 - Centro, Guaratuba - PR, 83280-000, Brasil;4C98+QX Guaratuba, PR
2018;2625;FACULDADE DE TECNOLOGIA IBTA - SÃO JOSÉ DOS CAMPOS;IBTA;Privada com fins lucrativos;Faculdade;SP;2,60741;3;Faculdade de Tecnologia de São José dos Campos;-23.1621282;-45.7953005;Av. Cesare Mansueto Giulio Lattes, 1350 - Eugênio de Melo, São José dos Campos - SP, 12247-014, Brasil;R6Q3+4V Eugênio de Melo, São José dos Campos - SP
2018;2629;FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DO VALE DO JURUENA;AJES;Privada sem fins lucrativos;Faculdade;MT;3,3965;4;;;;;
2018;2632;FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA;UNESULBAHIA;Privada sem fins lucrativos;Faculdade;BA;2,07128;3;Unesulbahia - Faculdades Integradas;-16.3952138;-39.4676593;Rod. 367, Km 14 s/n Motor, BA, 45820-000, Brasil;JG3J+WW Quilômetro Vinte e Dois, Santa Cruz Cabrália - BA
2018;2636;FACULDADE DINÂMICA DO VALE DO PIRANGA;FADIP;Privada com fins lucrativos;Faculdade;MG;2,9546;4;Faculdade Dinâmica Vale do Piranga;-20.3971088;-42.8765048;Rua G, 205 - Paraíso, Pte. Nova - MG, 35430-324, Brasil;J43F+59 Paraíso, Pte. Nova - MG
2018;2642;FACULDADE SÃO VICENTE;FASVIPA;Privada sem fins lucrativos;Faculdade;AL;1,72606;2;Faculdade UNIBR;-23.9642101;-46.3913789;Av. Cap. Mor de Aguiar, 798 - Centro, São Vicente - SP, 11310-200, Brasil;2JP5+8C Centro, São Vicente - SP
2018;2647;FACULDADE INTEGRADA DE SANTA MARIA;FISMA;Privada com fins lucrativos;Faculdade;RS;2,34234;3;Faculdade Integrada de Santa Maria - FISMA;-29.6799846;-53.8048746;R. José do Patrocínio, 26 - Centro, Santa Maria - RS, 97010-260, Brasil;85CW+23 Centro, Santa Maria - RS
2018;2652;FACULDADE UNIDA DE VITÓRIA;FACULDADE UNIDA;Privada com fins lucrativos;Faculdade;ES;3,6378;4;Faculdade Unida;-20.315089;-40.3059201;R. Eng. Fábio Ruschi, 161 - Bento Ferreira, Vitória - ES, 29050-670, Brasil;MMMV+XJ Bento Ferreira, Vitória - ES
2018;2656;FACULDADE DE RECIFE;;Privada sem fins lucrativos;Faculdade;PE;1,9774;3;FAREC - Faculdade do Recife;-8.0544575;-34.8962081;R. Dom Bôsco, 1329 - Boa Vista, Recife - PE, 50070-070, Brasil;W4W3+6G Boa Vista, Recife - PE
2018;2676;FACULDADE LA SALLE;;Privada sem fins lucrativos;Faculdade;AM;2,47633;3;Colégio Estadual La Salle;-25.5322574;-49.2918349;R. Dilermando Pereira de Almeida, 120 - Pinheirinho, Curitiba - PR, 81870-070, Brasil;FP95+37 Pinheirinho, Curitiba - PR
2018;2677;INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU;ISESJT;Privada com fins lucrativos;Faculdade;PI;1,74933;2;Instituto Superior de Educação São Judas Tadeu;-6.7685643;-43.0265839;R. Félix Pachêco, 530 - Centro, Floriano - PI, 64800-000, Brasil;6XJF+H9 Centro, Floriano - PI
2018;2687;FACULDADE DOM ALBERTO;FDA;Privada com fins lucrativos;Faculdade;RS;2,73854;3;Faculdade Dom Alberto;-25.5400895;-49.2713431;nº 910 - Rua: Tijucas do Sul, Curitiba - PR, 81900-080, Brasil;FP5H+XF Sítio Cercado - Bairro Novo, Curitiba - PR
