Ano;State;Region;PIB;"PIB Y-1";"Growing Tax"
2016;Roraima;Norte;11013236.00;10242903.00;0.075207
2016;"Santa Catarina";Sul;256754675.00;249079644.00;0.030814
2016;"São Paulo";Sudeste;2038757392.00;1939901904.00;0.050959
2016;Sergipe;Nordeste;38877436.00;38556529.00;0.008323
2016;Tocantins;Norte;31584812.00;28930288.00;0.091756
2017;Acre;Norte;14271061.00;13754242.00;0.037575
2017;Alagoas;Nordeste;52843471.00;49468745.00;0.068219
2017;Amapá;Norte;15479886.00;14342136.00;0.079329
2017;Amazonas;Norte;93204173.00;89039782.00;0.046770
2017;Bahia;Nordeste;268660837.00;258738968.00;0.038347
2017;Ceará;Nordeste;147890387.00;138422523.00;0.068398
2017;"Distrito Federal";Centro-oeste;244682756.00;235540045.00;0.038816
2017;"Espírito Santo";Sudeste;113351864.00;109264420.00;0.037409
2017;Goiás;Centro-oeste;191898682.00;181759608.00;0.055783
2017;Maranhão;Nordeste;89524182.00;85310044.00;0.049398
2017;"Mato Grosso";Centro-oeste;126805059.00;123880298.00;0.023610
2017;"Mato Grosso do Sul";Centro-oeste;96372195.00;91892284.00;0.048752
2017;"Minas Gerais";Sudeste;576199040.00;544810475.00;0.057614
2017;Pará;Norte;155195374.00;138107518.00;0.123729
2017;Paraíba;Nordeste;62386781.00;59104784.00;0.055528
2017;Paraná;Sul;421374934.00;401814167.00;0.048681
2017;Pernambuco;Nordeste;181550638.00;167345029.00;0.084888
2017;Piauí;Nordeste;45358619.00;41416948.00;0.095170
